Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#395-434,Idaho State University,Pocatello,ID,27720,"10,406",N/A
#395-434,Judson College at Southeastern,Wake Forest,NC,11318,758,75%
#395-434,Lamar University,Beaumont,TX,23044,"8,218",86%
#395-434,Liberty University,Lynchburg,VA,25860,"52,961",99%
#395-434,National Louis University,Chicago,IL,,"4,471",95%
#395-434,Our Lady of the Lake University,San Antonio,TX,32138,"1,108",87%
#395-434,Pontifical Catholic University of Puerto Rico--Arecibo,Arecibo,PR,6550,321,94%
#395-434,Roosevelt University,Chicago,IL,21280,"2,857",97%
#395-434,Saint Leo University,Saint Leo,FL,30000,"7,603",78%
#395-434,South College,Knoxville,TN,,"8,782",N/A
#395-434,Southeastern University,Lakeland,FL,33740,"10,351",62%
#395-434,Southern University and A&M College,Baton Rouge,LA,10479,"6,713",35%
#395-434,St. Thomas University,Miami Gardens,FL,35771,"4,502",98%
#395-434,Tennessee State University,Nashville,TN,22416,"5,057",70%
#395-434,Texas A&M University--Corpus Christi,Corpus Christi,TX,20183,"8,320",89%
#395-434,Texas Southern University,Houston,TX,,"6,844",97%
#395-434,Texas Wesleyan University,Fort Worth,TX,39582,"1,910",69%
#395-434,Trinity International University,Deerfield,IL,12320,140,100%
#395-434,Universidad Ana G. Mendez--Gurabo Campus,Gurabo,PR,7750,"7,688",N/A
#395-434,University of Alaska Fairbanks,Fairbanks,AK,22320,"5,638",N/A
#395-434,University of Bridgeport,Bridgeport,CT,35760,"1,479",83%
#395-434,University of Charleston,Charleston,WV,33800,"2,087",62%
#395-434,University of Colorado--Colorado Springs,Colorado Springs,CO,24336,"9,398",97%
#395-434,University of Mary Hardin-Baylor,Belton,TX,32020,"3,024",96%
#395-434,University of Maryland Eastern Shore,Princess Anne,MD,,"2,476",96%
#395-434,University of New Orleans,New Orleans,LA,14190,"5,418",73%
#395-434,University of Pikeville,Pikeville,KY,25650,"1,572",88%
#395-434,University of the Cumberlands,Williamsburg,KY,9875,"7,612",99%
#395-434,Valdosta State University,Valdosta,GA,17836,"7,206",72%
#395-434,William Woods University,Fulton,MO,30340,"1,097",71%
#395-434,Wilmington University,New Castle,DE,12630,"9,355",N/A
#395-434,Wright State University,Dayton,OH,20691,"7,505",96%
Unranked,Albizu University--Miami,Miami,FL,13818,226,76%
Unranked,Alliant University,San Diego,CA,14304,355,0%
